Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Population Type,location,urbanRural,accommodationType,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2020,AFG,AFG,Afghanistan,Afghanistan,OOC,Urozgan : Wilayat - Province,R,I,9,9,6,20,0,0,44,15,8,8,28,5,0,64,108
2020,AFG,AFG,Afghanistan,Afghanistan,OOC,Wardak : Wilayat - Province,R,I,33,33,21,76,0,0,163,28,16,16,65,5,0,130,293
2020,AFG,AFG,Afghanistan,Afghanistan,OOC,Wardak : Wilayat - Province,U,I,31,31,21,69,0,0,152,32,18,18,71,7,0,146,298
2020,AFG,AFG,Afghanistan,Afghanistan,OOC,Zabul : Wilayat - Province,R,I,22,22,15,58,0,0,117,26,14,13,58,5,0,116,233
2020,AFG,AFG,Afghanistan,Afghanistan,OOC,Zabul : Wilayat - Province,U,I,16,16,11,35,0,0,78,16,9,9,33,5,0,72,150
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Badghis : Wilayat - Province,U,I,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Baghlan : Wilayat - Province,R,I,0,5,0,5,0,0,10,0,0,5,11,0,0,16,26
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Baghlan : Wilayat - Province,U,I,5,5,5,19,0,0,34,8,0,0,24,0,0,32,66
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Balkh : Wilayat - Province,R,I,11,9,6,19,0,0,45,16,6,5,26,5,0,58,103
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Bamyan : Wilayat - Province,R,I,0,8,0,6,0,0,14,9,0,0,11,0,0,20,34
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Bamyan : Wilayat - Province,U,I,0,0,6,0,0,0,6,7,0,0,6,0,0,13,19
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Daykundi : Wilayat - Province,R,I,5,5,0,7,0,0,17,0,0,0,9,0,0,9,26
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Dispersed in the country / territory,V,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Farah : Wilayat - Province,U,I,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6
2020,AFG,AFG,Afghanistan,Afghanistan,RET,Faryab : Wilayat - Province,R,I,0,0,6,12,0,0,18,0,6,0,11,0,0,17,35
